APK,actual-findings,expected-findings, matches
jollyserv.apk,1,1,0
faketaobao.apk,0,2,0
samsapo.apk,0,5,0
phospy.apk,1,4,0
cajino_baidu.apk,5,14,0
fakeappstore.apk,0,3,0
godwon_samp.apk,0,5,0
fakedaum.apk,3,2,0
roidsec.apk,1,4,0
repane.apk,0,1,0
backflash.apk,1,12,0
overlay_android_samp.apk,0,6,0
smssilience_fake_vertu.apk,0,4,0
proxy_samp.apk,12,19,1
exprespam.apk,0,2,0
overlaylocker2_android_samp.apk,0,19,0
fakemart.apk,0,1,0
sms_send_locker_qqmagic.apk,2,4,0
sms_google.apk,0,4,0
smssend_packageInstaller.apk,0,5,0
tetus.apk,0,2,0
smsstealer_kysn_assassincreed_android_samp.apk,0,4,0
remote_control_smack.apk,0,17,0
the_interview_movieshow.apk,0,1,0
fakeplay.apk,0,2,0
save_me.apk,9,26,0
beita_com_beita_contact.apk,0,3,0
stels_flashplayer_android_update.apk,0,3,0
vibleaker_android_samp.apk,0,4,0
threatjapan_uracto.apk,1,2,0
slocker_android_samp.apk,0,5,0
chat_hook.apk,8,11,2
death_ring_materialflow.apk,12,1,0
chulia.apk,0,4,0
fakebank_android_samp.apk,0,5,0
hummingbad_android_samp.apk,2,2,0
dsencrypt_samp.apk,1,1,0
scipiex.apk,2,3,0
